shortname,longname,unit,group
RESTING_02_IND_aDMN_CEN,aDMN_CEN,,atlas
RESTING_02_IND_pDMN_CEN,pDMN_CEN,,atlas
RESTING_02_IND_DMN_DAN,DMN_DAN,,atlas
